PRICE,BEDS,BATH,SUBLOCALITY_ENCODED,TYPE_ENCODED
615000,3,2.0,3.0,1.0
800000,2,2.0,4.0,0.0
430000,2,2.0,9.0,0.0
499000,3,2.0,2.0,6.0
439500,3,2.0,8.0,3.0
299000,1,1.0,8.0,3.0
2580000,8,,2.0,1.0
200000,1,1.0,11.0,0.0
425000,3,1.0,4.0,3.0
69000,1,1.0,7.0,3.0
1995000,3,2.0,4.0,0.0
230000,1,1.0,4.0,3.0
220000,1,1.0,8.0,3.0
198000,3,1.0,8.0,3.0
1495000,1,2.0,4.0,3.0
475000,1,1.0,4.0,3.0
199900,2,1.0,8.0,3.0
1150000,2,2.0,2.0,1.0
1575000,3,2.0,3.0,1.0
229000,1,1.0,8.0,3.0
2700000,8,4.0,3.0,5.0
320000,2,2.0,7.0,0.0
295000,2,1.0,6.0,3.0
550000,3,2.0,3.0,1.0
285000,2,1.0,7.0,0.0
328000,1,1.0,8.0,3.0
1388000,4,3.0,10.0,4.0
3000000,10,10.0,3.0,4.0
2198888,7,6.0,10.0,4.0
650000,6,2.0,11.0,4.0
1100000,1,2.0,4.0,0.0
2649000,5,4.0,3.0,2.0
849000,2,1.0,6.0,3.0
6500000,2,2.0,4.0,5.0
560000,3,1.0,4.0,3.0
1100000,1,2.0,4.0,0.0
2649000,5,4.0,3.0,2.0
849000,2,1.0,6.0,3.0
418888,2,1.0,6.0,3.0
2600000,3,3.0,3.0,4.0
899000,8,2.0,11.0,4.0
979000,8,3.0,3.0,4.0
199000,1,1.0,8.0,3.0
815000,3,1.0,4.0,5.0
1025000,1,1.0,4.0,0.0
1375000,1,2.0,4.0,0.0
875000,3,2.0,4.0,0.0
1350000,6,3.0,3.0,4.0
989000,7,3.0,3.0,5.0
815156,4,4.0,2.0,4.0
1949000,3,5.0,3.0,4.0
669000,5,2.0,10.0,4.0
900500,4,2.0,3.0,4.0
1465000,3,3.0,4.0,3.0
899000,3,1.0,4.0,5.0
1100000,1,1.0,4.0,0.0
1199000,6,5.0,10.0,4.0
325000,2,1.0,4.0,5.0
599000,4,3.0,4.0,4.0
1230000,4,3.0,10.0,4.0
3950000,3,3.0,4.0,3.0
2147483647,7,6.0,2.0,1.0
1350000,10,5.0,3.0,4.0
799000,5,3.0,3.0,1.0
1599000,5,3.0,2.0,1.0
1299900,4,4.0,2.0,1.0
370000,1,1.0,6.0,3.0
3225,3,1.0,4.0,5.0
3649000,3,2.0,4.0,3.0
860000,5,3.0,3.0,4.0
765000,3,4.0,2.0,1.0
259000,1,1.0,6.0,3.0
1500000,8,3.0,3.0,4.0
850000,2,2.0,4.0,0.0
2494,2,1.0,4.0,5.0
99000,1,1.0,6.0,0.0
535000,1,1.0,6.0,3.0
849998,4,2.0,2.0,4.0
1100000,2,2.0,4.0,5.0
998000,5,3.0,10.0,4.0
1500000,3,2.0,3.0,4.0
875000,6,3.0,11.0,4.0
2350000,1,2.0,1.0,0.0
850000,5,2.0,11.0,4.0
4000000,3,,4.0,5.0
1200000,3,2.0,4.0,3.0
12000000,4,4.0,1.0,0.0
1300000,2,2.0,4.0,3.0
799000,3,1.0,4.0,5.0
339000,3,1.0,4.0,3.0
875000,7,5.0,11.0,4.0
799000,7,2.0,11.0,4.0
799000,7,2.0,11.0,4.0
285000,2,1.0,10.0,1.0
2499000,5,4.0,3.0,4.0
795000,4,2.0,1.0,2.0
1799995,2,2.0,4.0,3.0
250000,3,,10.0,1.0
5999000,3,3.0,4.0,5.0
668000,3,2.0,10.0,9.0
699900,3,2.0,2.0,1.0
5295000,4,4.0,3.0,2.0
2265000,2,2.0,4.0,0.0
459000,2,1.0,8.0,3.0
1369000,4,,2.0,4.0
879000,4,2.0,10.0,1.0
559000,1,1.0,0.0,0.0
869888,4,3.0,10.0,4.0
799888,3,2.0,10.0,1.0
749000,4,1.0,2.0,1.0
499000,2,3.0,10.0,1.0
1295000,3,4.0,4.0,1.0
879900,3,2.0,2.0,9.0
400000,2,2.0,11.0,3.0
699999,6,,11.0,4.0
289000,1,1.0,6.0,0.0
699000,1,1.0,6.0,0.0
5800,3,,6.0,7.0
479000,6,2.0,2.0,8.0
1355000,2,2.0,6.0,0.0
1225000,2,2.0,6.0,0.0
9999000,4,6.0,4.0,8.0
105000,3,1.0,7.0,3.0
300000,3,1.0,4.0,1.0
799000,5,3.0,11.0,4.0
202000,2,1.0,8.0,3.0
720000,3,2.0,2.0,6.0
600000,5,2.0,3.0,1.0
599000,3,1.0,6.0,3.0
235000,2,1.0,9.0,0.0
319000,3,1.0,10.0,3.0
950000,12,6.0,10.0,4.0
1088888,4,2.0,10.0,4.0
1250000,4,4.0,2.0,1.0
650000,3,,3.0,7.0
774888,3,2.0,2.0,1.0
105509,1,1.0,7.0,3.0
995000,5,2.0,3.0,4.0
995000,5,2.0,3.0,4.0
769000,4,2.0,11.0,1.0
395995,2,1.0,7.0,3.0
975000,1,2.0,4.0,5.0
499999,2,1.0,11.0,1.0
1649000,2,2.0,4.0,3.0
365000,2,1.0,8.0,3.0
748999,3,2.0,2.0,9.0
635000,3,2.0,10.0,1.0
149000,3,1.0,4.0,3.0
1099000,5,2.0,10.0,1.0
3950000,3,,2.0,7.0
1529999,6,5.0,10.0,4.0
675000,3,1.0,2.0,1.0
2650000,6,6.0,10.0,1.0
420000,3,1.0,10.0,1.0
2999950,3,,3.0,7.0
559900,3,2.0,2.0,2.0
549000,3,1.0,10.0,1.0
999000,3,2.0,10.0,7.0
289000,3,,11.0,7.0
790000,3,,10.0,7.0
2295000,7,4.0,1.0,1.0
1150000,3,4.0,2.0,1.0
13995000,7,,3.0,2.0
6100000,3,,3.0,7.0
350000,3,,3.0,7.0
450000,3,,11.0,7.0
2999999,3,,10.0,7.0
2500000,3,,3.0,7.0
350000,3,,3.0,7.0
150000,3,,2.0,7.0
3600000,3,,3.0,7.0
150000,3,,2.0,7.0
235000,3,2.0,8.0,3.0
199000,3,,4.0,7.0
2000000,3,,11.0,7.0
2200000,3,,10.0,7.0
650000,3,,10.0,7.0
149000,3,,2.0,7.0
215000,4,2.0,3.0,1.0
799999,3,,3.0,7.0
299000,5,2.0,10.0,1.0
265000,3,,3.0,7.0
795000,3,,11.0,7.0
1245000,3,,11.0,7.0
549000,3,,3.0,7.0
7495000,4,4.0,4.0,0.0
2850000,4,4.0,10.0,2.0
215000,2,2.0,11.0,3.0
299000,3,,3.0,7.0
275000,2,1.0,11.0,1.0
898000,6,3.0,2.0,4.0
275000,2,1.0,7.0,3.0
599000,4,2.0,10.0,1.0
189000,1,1.0,9.0,0.0
678990,3,3.0,2.0,4.0
800000,3,2.0,3.0,1.0
549000,3,2.0,2.0,0.0
849000,3,2.0,2.0,1.0
675000,3,,3.0,9.0
130000,3,,2.0,1.0
759999,4,2.0,10.0,1.0
489000,2,1.0,2.0,6.0
799900,5,2.0,3.0,4.0
295000,3,1.0,8.0,3.0
159000,2,1.0,11.0,3.0
999500,3,2.0,10.0,1.0
589000,3,2.0,2.0,6.0
329000,2,1.0,2.0,0.0
799000,3,2.0,3.0,1.0
1188000,4,2.0,3.0,1.0
729000,3,2.0,11.0,1.0
614900,3,2.0,2.0,6.0
599000,4,2.0,11.0,1.0
950000,6,2.0,10.0,4.0
11000000,5,,10.0,2.0
348000,3,,2.0,7.0
965000,3,1.0,6.0,0.0
1095000,4,4.0,2.0,4.0
2295000,2,2.0,4.0,0.0
13500000,5,7.0,1.0,9.0
49500,3,,7.0,3.0
460000,3,3.0,3.0,1.0
825000,12,6.0,3.0,4.0
1230250,3,2.0,10.0,1.0
799999,3,2.0,3.0,1.0
259500,2,1.0,8.0,3.0
1300000,15,6.0,3.0,4.0
749000,2,2.0,8.0,0.0
265000,2,1.0,2.0,1.0
575000,2,1.0,10.0,1.0
849000,4,2.0,11.0,4.0
875000,2,2.0,10.0,1.0
599999,3,2.0,2.0,1.0
1150000,5,3.0,10.0,4.0
1188000,4,,2.0,9.0
579900,3,,2.0,8.0
1295000,4,3.0,10.0,4.0
250000,3,1.0,3.0,1.0
1395000,3,,11.0,7.0
1648000,3,4.0,10.0,2.0
1675000,4,5.0,10.0,1.0
950000,3,2.0,10.0,1.0
449500,1,1.0,1.0,3.0
184888,3,1.0,8.0,9.0
399000,3,1.0,4.0,0.0
209000,1,1.0,7.0,3.0
280000,3,2.0,7.0,3.0
625000,3,2.0,10.0,1.0
275000,3,1.0,4.0,3.0
924800,4,3.0,2.0,4.0
1300000,6,4.0,10.0,1.0
995000,5,2.0,2.0,4.0
16500000,5,4.0,1.0,0.0
695000,3,,2.0,2.0
16500000,5,4.0,1.0,0.0
695000,3,,2.0,2.0
998000,5,3.0,10.0,4.0
899000,7,3.0,2.0,4.0
849000,6,5.0,10.0,4.0
235000,3,1.0,8.0,3.0
399999,2,1.0,10.0,1.0
520000,4,2.0,3.0,1.0
485000,3,2.0,6.0,0.0
215000,3,1.0,6.0,3.0
1288000,6,5.0,2.0,4.0
270000,2,2.0,8.0,3.0
375000,2,2.0,7.0,3.0
565000,1,1.0,6.0,3.0
849000,4,3.0,3.0,4.0
199000,2,1.0,8.0,3.0
5500000,8,6.0,11.0,1.0
899000,4,,10.0,1.0
699000,3,2.0,3.0,1.0
27750000,7,8.0,4.0,0.0
739000,3,1.0,10.0,1.0
425000,3,2.0,11.0,4.0
300000,2,1.0,9.0,3.0
569000,3,3.0,11.0,1.0
789000,5,3.0,10.0,1.0
10500000,3,3.0,4.0,0.0
350000,2,1.0,6.0,3.0
5895000,8,5.0,3.0,9.0
1250000,7,4.0,3.0,4.0
1499999,4,2.0,3.0,2.0
1488000,6,2.0,3.0,4.0
285000,3,,10.0,7.0
699000,3,3.0,10.0,4.0
924900,3,2.0,3.0,1.0
560000,4,2.0,11.0,8.0
1998000,12,8.0,3.0,4.0
309000,3,2.0,8.0,9.0
925000,4,,11.0,4.0
999000,4,2.0,10.0,1.0
699000,2,2.0,8.0,0.0
278500,2,1.0,8.0,3.0
738000,3,2.0,4.0,3.0
900000,4,4.0,10.0,1.0
369000,1,1.0,8.0,3.0
609000,3,2.0,11.0,1.0
758000,3,2.0,10.0,0.0
728000,3,2.0,2.0,0.0
314900,3,3.0,3.0,1.0
2848000,6,,10.0,1.0
1298000,3,2.0,10.0,1.0
1095000,4,4.0,10.0,3.0
434900,3,2.0,9.0,0.0
375000,2,2.0,7.0,3.0
1375000,14,8.0,11.0,4.0
4680000,3,4.0,1.0,2.0
549000,2,2.0,8.0,3.0
549000,3,1.0,2.0,1.0
950000,3,2.0,10.0,1.0
388000,3,1.0,4.0,0.0
5600000,6,6.0,1.0,2.0
1600000,8,6.0,10.0,4.0
6995000,5,,1.0,2.0
1399000,6,2.0,10.0,4.0
399000,3,,10.0,1.0
529900,1,1.0,6.0,9.0
999000,5,2.0,10.0,9.0
575000,2,2.0,8.0,0.0
659900,3,4.0,8.0,9.0
2200000,6,3.0,3.0,2.0
898888,5,2.0,10.0,4.0
1250000,5,4.0,2.0,1.0
1188000,3,2.0,3.0,4.0
869999,5,3.0,2.0,4.0
219000,3,1.0,6.0,3.0
210000,3,,3.0,1.0
799000,6,2.0,3.0,4.0
298000,3,2.0,7.0,3.0
1248888,4,4.0,2.0,1.0
1075000,2,2.0,4.0,9.0
1695000,2,2.0,6.0,9.0
3795000,3,2.0,3.0,0.0
550000,2,2.0,8.0,0.0
775000,3,1.0,4.0,3.0
249900,2,2.0,2.0,8.0
650000,4,1.0,2.0,1.0
410000,1,1.0,6.0,3.0
1650000,9,5.0,3.0,4.0
1600000,2,2.0,4.0,9.0
325000,2,1.0,8.0,3.0
275000,2,1.0,9.0,6.0
700000,3,2.0,11.0,1.0
930000,3,2.0,10.0,1.0
379000,1,2.0,7.0,0.0
1150000,3,,3.0,1.0
568888,3,2.0,10.0,3.0
1200000,4,3.0,2.0,1.0
899900,3,3.0,2.0,8.0
799999,3,2.0,8.0,0.0
300000,3,4.0,3.0,4.0
750000,4,3.0,2.0,8.0
669999,4,2.0,2.0,1.0
575000,2,1.0,2.0,6.0
299000,3,1.0,6.0,3.0
548800,3,4.0,2.0,1.0
28500000,7,9.0,1.0,2.0
259000,2,1.0,8.0,3.0
425000,2,1.0,8.0,3.0
950000,4,2.0,3.0,1.0
185000,2,1.0,4.0,3.0
1688888,4,3.0,10.0,1.0
259000,2,1.0,8.0,3.0
950000,4,2.0,3.0,1.0
1688888,4,3.0,10.0,1.0
689000,6,3.0,11.0,4.0
419000,2,1.0,8.0,3.0
1199000,4,2.0,3.0,1.0
2150000,4,,3.0,1.0
899000,3,4.0,2.0,1.0
675000,3,2.0,10.0,1.0
875000,2,1.0,4.0,3.0
899000,2,1.0,4.0,1.0
219000,2,1.0,8.0,3.0
120000,2,1.0,7.0,3.0
470000,2,1.0,4.0,0.0
229000,2,1.0,7.0,3.0
3000000,3,32.0,3.0,4.0
1199000,5,4.0,10.0,9.0
1498000,9,8.0,3.0,4.0
2000000,4,3.0,4.0,0.0
50000000,6,6.0,4.0,0.0
550000,3,2.0,10.0,1.0
499000,3,1.0,2.0,9.0
800000,6,3.0,11.0,4.0
239000,2,1.0,8.0,3.0
29950000,10,13.0,1.0,2.0
674999,3,2.0,2.0,1.0
14000000,5,,3.0,2.0
1228000,3,2.0,10.0,1.0
880000,4,4.0,10.0,0.0
369888,2,2.0,8.0,3.0
500000,2,2.0,4.0,3.0
499000,4,3.0,10.0,4.0
2998888,5,,10.0,1.0
175849,2,1.0,7.0,3.0
499000,3,2.0,4.0,4.0
899975,6,3.0,11.0,4.0
1474000,4,2.0,10.0,1.0
2750000,6,5.0,2.0,1.0
3999000,3,,3.0,1.0
1288000,4,2.0,10.0,1.0
499000,4,2.0,3.0,8.0
989000,4,4.0,2.0,1.0
650000,3,2.0,2.0,1.0
1999999,4,4.0,2.0,6.0
5990000,4,4.0,1.0,2.0
1235000,3,2.0,7.0,3.0
785000,1,1.0,4.0,3.0
750000,3,2.0,4.0,3.0
1400000,3,3.0,10.0,4.0
865000,6,3.0,11.0,4.0
324000,1,1.0,10.0,3.0
1100000,3,4.0,2.0,1.0
2295000,3,7.0,3.0,4.0
8950000,4,2.0,3.0,1.0
1348888,3,4.0,2.0,4.0
220000,2,1.0,7.0,3.0
185000,1,1.0,6.0,3.0
499000,2,2.0,11.0,1.0
999999,4,3.0,3.0,4.0
4995000,2,2.0,1.0,2.0
700000,2,1.0,1.0,9.0
1180000,4,4.0,10.0,1.0
609000,2,2.0,8.0,0.0
250000,2,1.0,6.0,3.0
689000,3,2.0,10.0,1.0
585000,4,2.0,10.0,4.0
109500,3,1.0,9.0,0.0
299000,3,1.0,4.0,3.0
995000,3,2.0,2.0,1.0
1499000,6,2.0,3.0,4.0
299000,2,1.0,8.0,3.0
279000,3,1.0,4.0,3.0
235000,3,2.0,10.0,1.0
17900000,6,4.0,4.0,3.0
950000,5,3.0,3.0,2.0
859000,2,2.0,10.0,1.0
1999000,5,4.0,10.0,1.0
1458888,8,,10.0,4.0
650000,5,3.0,3.0,1.0
1100000,4,3.0,3.0,1.0
478900,1,1.0,8.0,0.0
2795000,2,2.0,4.0,0.0
560000,5,2.0,2.0,4.0
868000,3,4.0,2.0,4.0
999000,3,2.0,10.0,1.0
1590000,5,6.0,4.0,4.0
149000,1,1.0,4.0,3.0
594900,4,2.0,10.0,1.0
799000,3,2.0,3.0,1.0
985000,6,5.0,10.0,4.0
685000,4,2.0,10.0,1.0
479888,3,2.0,2.0,6.0
2500000,3,,3.0,9.0
355000,1,1.0,6.0,0.0
260000,2,1.0,4.0,3.0
2600000,5,5.0,3.0,2.0
2500000,3,,3.0,9.0
220000,1,1.0,8.0,3.0
489000,2,2.0,8.0,3.0
1288000,5,2.0,3.0,4.0
200000,2,3.0,1.0,0.0
625000,3,1.0,10.0,1.0
2245000,2,3.0,4.0,0.0
899000,3,2.0,10.0,1.0
575000,4,2.0,3.0,2.0
588888,4,2.0,2.0,1.0
650000,6,,11.0,4.0
899999,8,4.0,3.0,4.0
315000,1,1.0,8.0,3.0
1599999,6,,11.0,4.0
10000000,5,,1.0,2.0
825000,4,2.0,2.0,1.0
795000,3,3.0,2.0,6.0
690000,3,2.0,3.0,1.0
1249949,4,4.0,2.0,1.0
799000,4,3.0,3.0,1.0
115000,3,1.0,8.0,3.0
2088000,4,4.0,10.0,1.0
699000,2,2.0,8.0,0.0
119000,1,1.0,7.0,3.0
1275000,5,3.0,10.0,4.0
410000,2,2.0,8.0,0.0
309900,2,1.0,7.0,3.0
435000,3,2.0,11.0,0.0
879000,3,3.0,10.0,1.0
325000,3,1.0,4.0,3.0
1195000,16,8.0,3.0,4.0
1900000,3,2.0,4.0,3.0
868000,3,2.0,10.0,1.0
1770000,7,4.0,10.0,4.0
899000,5,3.0,10.0,4.0
990000,2,2.0,6.0,9.0
818000,3,3.0,10.0,1.0
409000,4,2.0,10.0,1.0
679000,3,2.0,6.0,9.0
259000,1,1.0,8.0,3.0
850000,6,3.0,6.0,1.0
8750000,6,6.0,3.0,2.0
495000,2,2.0,2.0,1.0
825000,2,1.0,6.0,3.0
1075000,4,2.0,8.0,3.0
1950000,5,4.0,7.0,1.0
6800000,7,,4.0,1.0
7999000,20,10.0,1.0,4.0
578000,2,2.0,8.0,0.0
8995000,5,4.0,4.0,0.0
629000,3,2.0,6.0,0.0
329900,2,2.0,8.0,0.0
1788888,4,4.0,10.0,1.0
899000,5,2.0,2.0,1.0
2150000,3,1.0,4.0,0.0
1290000,3,2.0,11.0,1.0
109000,1,1.0,7.0,3.0
545000,6,3.0,2.0,1.0
307000,2,1.0,7.0,3.0
595000,1,1.0,4.0,0.0
1088888,5,4.0,2.0,1.0
650000,3,2.0,11.0,2.0
4380000,35,16.0,3.0,4.0
949999,5,3.0,10.0,4.0
879000,4,2.0,11.0,4.0
850000,6,4.0,10.0,1.0
675000,2,2.0,6.0,3.0
199000,2,1.0,2.0,1.0
395000,3,1.0,4.0,1.0
368000,2,2.0,8.0,3.0
999999,5,2.0,2.0,4.0
374900,1,1.0,7.0,0.0
365000,2,1.0,8.0,3.0
25500000,5,,1.0,2.0
999000,7,3.0,11.0,4.0
825000,3,2.0,10.0,1.0
889000,3,2.0,11.0,1.0
225000,2,1.0,9.0,3.0
799500,2,2.0,2.0,1.0
779000,2,2.0,3.0,1.0
1880000,7,2.0,3.0,4.0
3000000,5,,1.0,2.0
480000,3,2.0,7.0,3.0
820000,4,3.0,10.0,1.0
385000,2,1.0,8.0,3.0
709999,4,2.0,10.0,1.0
699000,3,2.0,10.0,1.0
649000,3,2.0,3.0,0.0
529000,3,,2.0,2.0
325000,2,1.0,4.0,3.0
999000,3,1.0,3.0,1.0
160000,3,,10.0,1.0
3895000,3,3.0,4.0,0.0
699000,1,1.0,3.0,3.0
615000,3,2.0,12.0,0.0
249000,2,1.0,11.0,3.0
1290000,3,2.0,3.0,2.0
850000,4,2.0,2.0,4.0
588000,3,2.0,2.0,1.0
1790000,4,2.0,10.0,1.0
1175000,9,3.0,10.0,4.0
579000,4,2.0,11.0,1.0
249000,1,1.0,7.0,3.0
2480000,3,2.0,10.0,1.0
999000,4,3.0,11.0,4.0
228500,1,1.0,8.0,3.0
305000,2,1.0,8.0,3.0
1500000,6,2.0,1.0,4.0
778000,4,3.0,2.0,4.0
850000,3,2.0,10.0,1.0
428000,3,3.0,3.0,1.0
639000,1,1.0,4.0,3.0
835000,3,2.0,3.0,1.0
1250000,3,2.0,10.0,1.0
